"metric","value"
"pearson_r",0.790322016726106
"pearson_p",8.49437173500857e-35
"spearman_rho",0.808486490134436
"spearman_p",1.61932969479711e-37
"lm_intercept",3.29618004130801
"lm_slope",2.18686322172573
"lm_R2",0.624608890122019
"shapiro_y_p",0.0124785879367588
"shapiro_x_p",0.00115861286274957
